code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, industrySector, industrySubSector
600312,平高电气,19.5,27.54,17.87,0.708061,0.9164103,0.16856247,44,16,GoUpRed,0,true,null,电力设备
002093,国脉科技,14.88,29.09,9.45,0.511516,0.63508064,0.2764766,61,72,GoUpRed,0,true,信息传输、软件和信息技术服务业,电信运营
600309,万华化学,17.85,29.2,15.74,0.61130136,0.88179266,0.15676081,33,77,GoDown,1,false,null,化工行业
000650,仁和药业,10.57,17.17,8.49,0.6156086,0.80321664,0.23963133,61,61,GoUpRed,0,true,深证成指,医药
600307,酒钢宏兴,3.83,9.39,3.59,0.4078807,0.9373368,0.04137931,61,117,GoUpRed,1,false,制造业,钢铁行业
000652,泰达股份,7.13,14.38,4.9,0.49582756,0.687237,0.23523208,61,72,GoUpRed,0,false,深证成指,化工化纤
600308,华泰股份,5.77,10.68,4.47,0.54026216,0.77469665,0.20933978,61,72,GoUpRed,0,true,制造业,新能源
600305,恒顺醋业,25.67,39.48,16.81,0.65020263,0.65485,0.3908249,61,119,GoUpRed,3,true,null,化纤行业
002092,中泰化学,8.8,15.27,6.87,0.5762934,0.7806818,0.22976193,27,45,GoDown,0,false,深证成指,化工行业
000656,金科股份,5.28,10.4,4.5,0.50769234,0.8522727,0.13220343,61,72,GoDown,0,true,深证成指,房地产
000655,金岭矿业,9.74,17.58,6.93,0.55403864,0.711499,0.26384977,61,72,GoUpRed,0,false,null,钢铁
002301,齐心集团,21.82,35.31,21.17,0.6179552,0.97021085,0.045968853,31,21,GoUpRed,0,false,null,文教休闲
002302,西部建设,17.82,30.59,13.88,0.5825433,0.77890015,0.23578694,61,79,GoUpRed,0,false,null,水泥建材
002303,美盈森,13.65,21.43,11.68,0.6369575,0.8556777,0.2020512,26,26,GoUpRed,0,true,制造业,造纸印刷
002305,南国置业,6.39,12.41,4.18,0.5149073,0.6541471,0.2685298,61,72,GoDown,0,false,null,房地产
002307,北新路桥,11.28,21.06,7.35,0.5356125,0.6515958,0.2866521,61,119,GoUpRed,0,false,建筑业,工程建设
002309,中利科技,18.78,33.49,13.01,0.5607644,0.69275826,0.28173828,2,54,GoDown,0,true,制造业,新能源
002310,东方园林,26.46,34.47,25.48,0.76762396,0.962963,0.10900994,19,2,GoUpGreen,2,false,建筑业,工程建筑
002314,南山控股,8.47,20.11,6.85,0.4211835,0.8087367,0.12217197,61,72,GoUpRed,0,true,建筑业,工程建筑
601099,太平洋,9.82,16.92,6.35,0.58037823,0.6466395,0.3282876,61,72,GoDown,0,true,null,券商信托
002327,富安娜,12.03,20.98,8.33,0.57340324,0.69243556,0.29249012,61,72,GoUpRed,0,true,制造业,纺织服装
002339,积成电子,24.4,54.41,14.68,0.44844696,0.6016394,0.24465138,61,79,GoDown,0,true,制造业,软件服务
002336,人人乐,14.49,25.53,9.66,0.5675675,0.6666667,0.3043478,61,72,GoDown,0,true,null,商业百货
002337,赛象科技,10.29,21.14,6.31,0.48675498,0.6132167,0.26837492,61,72,GoUpRed,0,true,null,机械
002334,英威腾,11.31,17.94,7.19,0.6304348,0.6357206,0.38325584,61,72,GoUpRed,0,true,制造业,电力设备
002332,仙琚制药,15.15,29.37,9.61,0.5158325,0.6343234,0.28036433,61,72,GoUpRed,0,true,制造业,医疗行业
601886,江河创建,12.61,21.45,7.76,0.58787876,0.61538464,0.35427314,61,72,GoDown,0,false,null,装修装饰
601880,大连港,5.96,10.16,4.66,0.5866142,0.7818792,0.23636366,61,72,GoUpRed,0,true,交通运输、仓储和邮政业,交通设施
002342,巨力索具,7.61,13.39,5.33,0.5683346,0.7003942,0.28287843,61,72,GoUpRed,0,true,制造业,金属制品
002344,海宁皮城,15.34,30.47,11.3,0.50344604,0.7366362,0.21074598,61,72,GoDown,0,false,深证成指,商业百货
002348,高乐股份,17.53,26.66,15.63,0.6575394,0.8916143,0.17225754,44,44,GoUpRed,0,true,制造业,教育传媒
002351,漫步者,25.69,53.0,15.8,0.48471698,0.6150253,0.26586023,61,79,GoDown,0,true,制造业,电子信息
002353,杰瑞股份,25.38,39.92,24.27,0.6357716,0.95626485,0.07092644,61,14,GoUpRed,0,false,制造业,机械行业
002358,森源电气,18.45,31.1,12.3,0.5932476,0.6666666,0.3271277,61,69,GoUpRed,3,true,制造业,新能源
