#代码;名称;收盘价;涨跌幅;成交量/股;换手率;流通市值/万元;总市值/万元
300251;光线传媒;21.63;+6.19%;42556564;3.48%;2648860.91;3172697.52;
600373;中文传媒;22.27;+5.34%;21597512;1.82%;2640512.73;3068672.44;
002500;山西证券;10.57;+4.76%;68976384;2.77%;2630312.43;2662292.49;
002065;东华软件;19.45;+8.06%;66283328;4.92%;2622694.97;3042930.91;
000402;金 融 街;8.78;+4.40%;59474116;1.99%;2621693.70;2624280.46;
000748;长城信息;0.00;0.00%;0;0.00%;2619921.70;2842087.30;
300168;万达信息;26.10;+7.41%;63903032;6.39%;2610379.10;2670729.07;
600022;山东钢铁;4.03;+10.11%;242376768;3.77%;2593827.21;3393430.38;
002230;科大讯飞;28.59;+10.00%;51359296;5.66%;2593817.58;3675094.37;
002308;威创股份;0.00;0.00%;0;0.00%;2587574.81;2587827.06;
000415;渤海租赁;8.29;+3.50%;216962544;6.96%;2582780.01;2941795.16;
600645;中源协和;79.34;0.00%;0;0.00%;2577457.53;3064549.66;
600648;外高桥;27.50;+10.00%;29593832;3.17%;2570676.97;3122210.09;
600188;兖州煤业;8.66;+7.85%;14253336;0.48%;2563342.68;4259334.40;
600376;首开股份;11.43;+5.74%;90690544;4.05%;2562620.29;2562620.29;
000999;华润三九;26.13;+4.98%;9475767;0.97%;2554839.40;2557865.70;
600879;航天电子;24.50;0.00%;0;0.00%;2546865.74;2546865.74;
000800;一汽轿车;18.04;+9.93%;70501960;4.99%;2546804.36;2936010.00;
601669;中国电建;7.70;+10.00%;171854272;5.21%;2541000.00;10591067.78;
000062;深圳华强;37.98;+9.14%;22511328;3.38%;2533074.47;2533075.33;
002152;广电运通;29.28;+6.39%;12859726;1.49%;2527152.29;2625493.00;
600867;通化东宝;22.37;+6.22%;37010952;3.28%;2521234.52;2534768.37;
600998;九州通;17.59;+8.25%;12566398;0.88%;2516090.98;2897089.59;
000825;太钢不锈;4.37;+7.90%;70934952;1.25%;2489131.42;2489260.29;
601099;太平洋;7.52;+3.01%;209501232;6.34%;2485711.20;2654911.20;
601992;金隅股份;7.97;+4.87%;36517128;1.17%;2479787.89;3813358.31;
601231;环旭电子;12.25;+6.80%;11271545;0.56%;2478723.31;2665506.39;
600160;巨化股份;13.67;+9.19%;106744896;5.89%;2475522.11;2475522.11;
